,KYTREASNOX,MCALDT,TMYTM,rf,year,month,realmonth
221,2000001,1991-06-28,5.1833265567044,0.004220097048632132,1991,6,222
222,2000001,1991-07-31,5.5408068953879,0.004504070249341963,1991,7,223
223,2000001,1991-08-30,5.3055890495633,0.004317318644268653,1991,8,224
224,2000001,1991-09-30,4.9887482442573,0.004065156996580388,1991,9,225
225,2000001,1991-10-31,4.786383874157,0.0039037375273973662,1991,10,226
226,2000001,1991-11-29,4.0632353975472,0.003324560888299022,1991,11,227
227,2000001,1991-12-31,3.7165038872285,0.0030455505355364565,1991,12,228
228,2000001,1992-01-31,3.7274358136908,0.0030543603601544955,1992,1,229
229,2000001,1992-02-28,3.8495326005148,0.0031526979653366816,1992,2,230
230,2000001,1992-03-31,4.0114669449388,0.0032829576535047256,1992,3,231
231,2000001,1992-04-30,3.5037961150167,0.0028739638956323255,1992,4,232
232,2000001,1992-05-29,3.6358723358956,0.002980544848467215,1992,5,233
233,2000001,1992-06-30,3.5131227451262,0.0028814942540864585,1992,6,234
234,2000001,1992-07-31,3.0764873768708,0.002528284279241122,1992,7,235
235,2000001,1992-08-31,3.0252721432214,0.0024867646125572573,1992,8,236
236,2000001,1992-09-30,2.6903718748074,0.0022147970934651706,1992,9,237
237,2000001,1992-10-30,2.7714911176172,0.0022807473574231185,1992,10,238
238,2000001,1992-11-30,2.6695518170644,0.002197862603234846,1992,11,239
239,2000001,1992-12-31,2.9240956469943,0.0024046862233018107,1992,12,240
240,2000001,1993-01-29,2.8629808971362,0.002355071674790432,1993,1,241
241,2000001,1993-02-26,2.7206668314686,0.0022394325978167817,1993,2,242
242,2000001,1993-03-31,2.8632056868119,0.00235525421442051,1993,3,243
243,2000001,1993-04-30,2.852814981508,0.0023468160981343633,1993,4,244
244,2000001,1993-05-28,2.9544784743858,0.002429341746150504,1993,5,245
245,2000001,1993-06-30,2.8632056868119,0.00235525421442051,1993,6,246
246,2000001,1993-07-30,2.8841112116871,0.0023722288709395745,1993,7,247
247,2000001,1993-08-31,2.8625314600432,0.0023547067099543018,1993,8,248
248,2000001,1993-09-30,2.7817623552784,0.002289094510339762,1993,9,249
249,2000001,1993-10-29,2.8324834379732,0.0023303029343497705,1993,10,250
250,2000001,1993-11-30,2.7507461103132,0.0022638861271557786,1993,11,251
251,2000001,1993-12-31,2.9443116922778,0.0024210921924414652,1993,12,252
252,2000001,1994-01-31,2.791500965099,0.002297008105070164,1994,1,253
253,2000001,1994-02-28,2.9032987815968,0.002387805817325672,1994,2,254
254,2000001,1994-03-31,3.3918989994079,0.002783569186333379,1994,3,255
255,2000001,1994-04-29,3.6155259567899,0.0029641341385073794,1994,4,256
256,2000001,1994-05-31,3.7876953199599,0.003102907040881453,1994,5,257
257,2000001,1994-06-30,3.5241423358008,0.002890390714171742,1994,6,258
258,2000001,1994-07-29,3.9512905316362,0.003234573577003852,1994,7,259
259,2000001,1994-08-31,4.3894881356907,0.0035863151637780533,1994,8,260
260,2000001,1994-09-30,4.4907686560696,0.0036674205308064867,1994,9,261
261,2000001,1994-10-31,4.3372844282122,0.00354448229701787,1994,10,262
262,2000001,1994-11-30,4.9497012178796,0.004034032674536281,1994,11,263
263,2000001,1994-12-30,4.7351498424951,0.0038628244782630272,1994,12,264
264,2000001,1995-01-31,5.1818525864664,0.004218924334214558,1995,1,265
265,2000001,1995-02-28,5.0189488833077,0.004089222601008302,1995,2,266
266,2000001,1995-03-31,5.7743909736047,0.004689147541577343,1995,3,267
267,2000001,1995-04-28,5.7336174612673,0.004656868190322294,1995,4,268
268,2000001,1995-05-31,5.6427565072272,0.004584894822303065,1995,5,269
269,2000001,1995-06-30,5.3259674856137,0.0043335132589017444,1995,6,270
270,2000001,1995-07-31,5.447024659215,0.004429657462815539,1995,7,271
271,2000001,1995-08-31,5.3671207596059,0.004366208751256817,1995,8,272
272,2000001,1995-09-29,5.3565358644872,0.004357800372040588,1995,9,273
273,2000001,1995-10-31,4.9884068671148,0.0040648849313902335,1995,10,274
274,2000001,1995-11-30,5.4180780231083,0.004406677109500601,1995,11,275
275,2000001,1995-12-29,4.5824050818417,0.003740740841499113,1995,12,276
276,2000001,1996-01-31,4.9293244088091,0.004017786137385793,1996,1,277
277,2000001,1996-02-29,4.9799269050118,0.004058126449155486,1996,2,278
278,2000001,1996-03-29,5.1935145660077,0.004228202380737622,1996,3,279
279,2000001,1996-04-30,4.8357082855467,0.003943108324238942,1996,4,280
280,2000001,1996-05-31,5.0308652525847,0.004098716503357025,1996,5,281
281,2000001,1996-06-28,4.8166226026521,0.003927876126547103,1996,6,282
282,2000001,1996-07-31,5.0312125496734,0.004098993183956123,1996,7,283
283,2000001,1996-08-30,5.1120131992059,0.004163341720711866,1996,8,284
284,2000001,1996-09-30,4.9887482442573,0.004065156996580388,1996,9,285
285,2000001,1996-10-31,4.9620990717049,0.004043916133872338,1996,10,286
286,2000001,1996-11-29,4.9490290257211,0.0040334967783108855,1996,11,287
287,2000001,1996-12-31,4.8738811345041,0.003973566278415497,1996,12,288
288,2000001,1997-01-31,4.969400694256,0.004049736422045758,1997,1,289
289,2000001,1997-02-28,5.0559845985718,0.004118726128357952,1997,2,290
290,2000001,1997-03-31,5.2229561265599,0.004251621325610966,1997,3,291
291,2000001,1997-04-30,4.9904560646412,0.0040665180552541536,1997,4,292
292,2000001,1997-05-30,4.4144109426144,0.0036062800183478405,1997,5,293
293,2000001,1997-06-30,5.0447502389251,0.004109777579105245,1997,6,294
294,2000001,1997-07-31,5.1174661533258,0.004167682745644274,1997,7,295
295,2000001,1997-08-29,5.017784956423,0.004088295234732975,1997,8,296
296,2000001,1997-09-30,4.7491875956958,0.003874036181457763,1997,9,297
297,2000001,1997-10-31,4.8930089304699,0.003988824443884598,1997,10,298
298,2000001,1997-11-28,4.9901143758077,0.004066245745717678,1997,11,299
299,2000001,1997-12-31,5.1076353752185,0.004159856443315846,1997,12,300
300,2000001,1998-01-30,5.025424776112,0.004094382138464248,1998,1,301
301,2000001,1998-02-27,5.1222005317508,0.004171451554522809,1998,2,302
302,2000001,1998-03-31,5.2302188224467,0.004257397428457432,1998,3,303
303,2000001,1998-04-30,4.7278187205828,0.0038569686943519255,1998,4,304
304,2000001,1998-05-29,4.5671318009421,0.003728524445797632,1998,5,305
305,2000001,1998-06-30,4.7033850152692,0.003837449391148162,1998,6,306
306,2000001,1998-07-31,4.7453335994392,0.003870958200528074,1998,7,307
307,2000001,1998-08-31,4.690964197427,0.0038275251974517754,1998,8,308
308,2000001,1998-09-30,4.0280603617702,0.003296294864964633,1998,9,309
309,2000001,1998-10-30,3.5519460080292,0.0029128336304378166,1998,10,310
310,2000001,1998-11-30,4.441596191365,0.003628052261370973,1998,11,311
311,2000001,1998-12-31,4.3943146741389,0.0035901818887533743,1998,12,312
312,2000001,1999-01-29,4.4093206214902,0.003602202681740607,1999,1,313
313,2000001,1999-02-26,4.5060408504483,0.003679644239980684,1999,2,314
314,2000001,1999-03-31,4.5575195610907,0.0037208352180959636,1999,3,315
315,2000001,1999-04-30,4.4524873101386,0.0036367733315894046,1999,4,316
316,2000001,1999-05-28,4.4195012878751,0.003610357192080915,1999,5,317
317,2000001,1999-06-30,4.4378579643655,0.003625058681570925,1999,6,318
318,2000001,1999-07-30,4.4500438663229,0.003634816814944264,1999,7,319
319,2000001,1999-08-31,4.4998388502452,0.0036746804195246785,1999,8,320
320,2000001,1999-09-30,4.5012280203727,0.0036757922764136808,1999,9,321
321,2000001,1999-10-29,4.3660538664246,0.00356753874247695,1999,10,322
322,2000001,1999-11-30,4.57107613455,0.0037316794936914643,1999,11,323
323,2000001,1999-12-31,5.1018259634536,0.004155231243437196,1999,12,324
324,2000001,2000-01-31,5.3859108304347,0.004381133212306265,2000,1,325
325,2000001,2000-02-29,5.314227907597,0.004324184241028206,2000,2,326
326,2000001,2000-03-31,5.8559426449463,0.004753675715916117,2000,3,327
327,2000001,2000-04-28,5.2699277174844,0.004288971894955695,2000,4,328
328,2000001,2000-05-31,4.6746488432068,0.003814487641531805,2000,5,329
329,2000001,2000-06-30,5.6291424027875,0.004574105841906206,2000,6,330
330,2000001,2000-07-31,5.8749103032492,0.004768677439770164,2000,7,331
331,2000001,2000-08-31,6.2337330537432,0.005052011041521087,2000,8,332
332,2000001,2000-09-29,5.9196591990987,0.0048040600602470285,2000,9,333
333,2000001,2000-10-31,6.0272657762215,0.004889087722706131,2000,10,334
334,2000001,2000-11-30,6.1189930096839,0.004961505547032008,2000,11,335
335,2000001,2000-12-29,5.7692941997746,0.004685113179383915,2000,12,336
336,2000001,2001-01-31,4.8274465059009,0.003936514947103564,2001,1,337
337,2000001,2001-02-28,5.0133813858795,0.004084786576159294,2001,2,338
338,2000001,2001-03-30,4.4322272566264,0.0036205494139360805,2001,3,339
339,2000001,2001-04-30,3.7421209392371,0.0030661934746540886,2001,4,340
340,2000001,2001-05-31,3.4453029431826,0.0028267220865314524,2001,5,341
341,2000001,2001-06-29,3.4146261678491,0.002801936304968944,2001,6,342
342,2000001,2001-07-31,3.6402319747007,0.0029840608033362415,2001,7,343
343,2000001,2001-08-31,3.3739421808522,0.002769054641581281,2001,8,344
344,2000001,2001-09-28,2.3776658207938,0.0019601181591231143,2001,9,345
345,2000001,2001-10-31,2.0933052972478,0.001727905025168619,2001,10,346
346,2000001,2001-11-30,1.7275350720468,0.0014283381400517214,2001,11,347
347,2000001,2001-12-31,1.6360319456404,0.0013532424255555675,2001,12,348
348,2000001,2002-01-31,1.6894928024579,0.0013971247472674975,2002,1,349
349,2000001,2002-02-28,1.7326538388643,0.0014325372325318941,2002,2,350
350,2000001,2002-03-28,1.7098036558971,0.001413790979574392,2002,3,351
351,2000001,2002-04-30,1.7527549769008,0.0014490249826515367,2002,4,352
352,2000001,2002-05-31,1.6894928024579,0.0013971247472674975,2002,5,353
353,2000001,2002-06-28,1.6666054953534,0.0013783407284471139,2002,6,354
354,2000001,2002-07-31,1.6996877751244,0.0014054906945446533,2002,7,355
355,2000001,2002-08-30,1.6564509021037,0.0013700054322218769,2002,8,356
356,2000001,2002-09-30,1.5700393812955,0.0012990445023763897,2002,9,357
357,2000001,2002-10-31,1.420411332708,0.0011760393347377551,2002,10,358
358,2000001,2002-11-29,1.2173566324679,0.00100884724316197,2002,11,359
359,2000001,2002-12-31,1.1360858114442,0.0009418439414785595,2002,12,360
360,2000001,2003-01-31,1.1463062350461,0.0009502728286270301,2003,1,361
361,2000001,2003-02-28,1.1945184918963,0.0009900234415292086,2003,2,362
362,2000001,2003-03-31,1.1411778473103,0.0009460434927694994,2003,3,363
363,2000001,2003-04-30,1.0930542665745,0.0009063468227559213,2003,4,364
364,2000001,2003-05-30,1.120932232678,0.0009293451939715869,2003,5,365
365,2000001,2003-06-30,0.79363546909904,0.0006589693139618102,2003,6,366
366,2000001,2003-07-31,0.87991972666325,0.0007303257194968271,2003,7,367
367,2000001,2003-08-29,0.9712378252088,0.0008057841605597638,2003,8,368
368,2000001,2003-09-30,0.85196488917849,0.0007072134164165522,2003,9,369
369,2000001,2003-10-31,0.91542491396692,0.0007596719853508738,2003,10,370
370,2000001,2003-11-28,0.90021481869211,0.0007471014742914672,2003,11,371
371,2000001,2003-12-31,0.826656352684,0.0006862839378234398,2003,12,372
372,2000001,2004-01-30,0.82663762594867,0.0006862684495343441,2004,1,373
373,2000001,2004-02-27,0.93318325279341,0.0007743463163107922,2004,2,374
374,2000001,2004-03-31,0.92305894443641,0.0007659805394035768,2004,3,375
375,2000001,2004-04-30,0.80888104949954,0.0006715813613389354,2004,4,376
376,2000001,2004-05-28,0.90781428725237,0.0007533823360565961,2004,5,377
377,2000001,2004-06-30,1.1285792775762,0.0009356527294064332,2004,6,378
378,2000001,2004-07-30,1.2782607160614,0.001059026976440114,2004,7,379
379,2000001,2004-08-31,1.440574730471,0.0011926248122935412,2004,8,380
