,1,2,3,4,5,6,7,8,9
42,(-0.030281503016256088+0j),(-0.014691215830857144+0j),(-0.003418384658189848+0j),(-0.0029255223546217264+0j),(-0.022787392788926032+0j),(0.04309906621547232+0j),(0.03271490944028264+0j),(0.008379474558617912+0j),(-0.021023408667177654+0j)
43,(-0.0019885351057690993+0j),(-0.007927674749693202+0j),(-0.03030819092096936+0j),(0.011019156363678364+0j),(0.0038744123302579935+0j),(-0.004410974819692789+0j),(-0.002540128342856235+0j),(-0.01844238603137644+0j),(0.007427286671600925+0j)
44,(0.013078603449387825+0j),(0.012387535754930162+0j),(0.002538782763158537+0j),(-0.007906115783847072+0j),(0.012797749047050933+0j),(0.009984020536288949+0j),(-0.011655100007394933+0j),(0.044660624050149665+0j),(0.02519344074669651+0j)
45,(-0.007103008762405283+0j),(-0.015915669730488666+0j),(-0.024618717987007713+0j),(0.009765686308054496+0j),(-0.04200686151867338+0j),(0.013997010523986868+0j),(-0.04269382103568652+0j),(0.003620831374280675+0j),(-0.015109196322660166+0j)
46,(0.009086787697571565+0j),(0.028161191504835467+0j),(-0.006453138111409661+0j),(-0.008304889784737849+0j),(0.031154437044173335+0j),(0.016666466265626366+0j),(-0.013507612987994841+0j),(-0.004851260764182323+0j),(0.021903382240147002+0j)
47,(-0.015655024939885565+0j),(0.014749287468571482+0j),(0.04703835763511524+0j),(0.1262243343692345+0j),(0.08810151523707767+0j),(0.04993896500937376+0j),(-0.048618218295191265+0j),(0.02535484469546482+0j),(0.018527292600777148+0j)
48,(-0.0486939247618286+0j),(-0.011438215632985454+0j),(0.011980237417795084+0j),(0.008287422848468614+0j),(-0.020354944584442786+0j),(0.06908094553035475+0j),(-0.005256482518206485+0j),(0.027159213596181373+0j),(-0.02447825232918505+0j)
49,(-0.011706307459082573+0j),(-0.0015178694324907561+0j),(0.07718352709342292+0j),(0.05637726327073047+0j),(0.03790060482988306+0j),(0.0606297164173687+0j),(-0.01890228295967239+0j),(-0.005382431099918238+0j),(0.07242292103328023+0j)
50,(0.0126302569229856+0j),(0.009333157963596718+0j),(-0.017272696612774578+0j),(-0.02033746627195326+0j),(-0.01492812632029778+0j),(-0.002958843688384157+0j),(0.03420842686182079+0j),(-0.05667275420599936+0j),(-0.10713829752347175+0j)
51,(0.007060743145781086+0j),(-0.012161915271910465+0j),(-0.07927762898770255+0j),(-0.026286855542534092+0j),(-0.04086227590013476+0j),(0.010332241258611976+0j),(0.03062524203030395+0j),(0.008193663413213547+0j),(-0.01100184196302973+0j)
52,(-0.0019491608900782124+0j),(-0.012009385741553774+0j),(-0.019138489070570978+0j),(0.009265742705393544+0j),(0.00341847258494494+0j),(0.0056227902368442976+0j),(-0.011164399622179825+0j),(0.018258451408992803+0j),(0.0010813285354668958+0j)
53,(-0.016778253701336752+0j),(-0.028467587093764745+0j),(-0.05441218620014708+0j),(-0.028898331459065462+0j),(-0.0019461123356512584+0j),(-0.03630782789829214+0j),(0.12675304990854735+0j),(-0.12854611492714207+0j),(-0.10351138109064802+0j)
54,(-0.04981034210583949+0j),(-0.02531461202711155+0j),(-0.02909976577095238+0j),(0.03316820714654374+0j),(0.06092988667711476+0j),(0.012297838551717148+0j),(0.0029520247800176296+0j),(0.005739319836292412+0j),(-0.009306645795256507+0j)
55,(0.007603930202450099+0j),(-0.0025792440113389216+0j),(0.004397697755679631+0j),(-0.011327368283029621+0j),(0.04707116094929551+0j),(-0.0002510439530718832+0j),(0.002400585736435186+0j),(0.00423114006942778+0j),(0.012064603454021612+0j)
56,(0.03407819898676147+0j),(0.001899125722923504+0j),(0.005075765620654892+0j),(-0.02771972877693561+0j),(0.0012850304727628366+0j),(0.007758475478967461+0j),(-0.014951278661663374+0j),(0.04318912296032955+0j),(-7.778969772817984e-06+0j)
57,(0.009676555633052301+0j),(0.011844603639725523+0j),(-0.01719730553170065+0j),(-0.014552103121953718+0j),(-0.0038429462761036233+0j),(-0.005357770748708742+0j),(-0.00875029473583099+0j),(0.009990739382257082+0j),(-0.017757995718945898+0j)
58,(0.03390508448740244+0j),(0.03235816991189687+0j),(0.02773817914092305+0j),(-0.006254028089975581+0j),(-0.0027124601669930234+0j),(-0.008564934629664107+0j),(-0.014639147614670115+0j),(-0.013006861858421316+0j),(-0.005389760529024506+0j)
